code,lenght (cm),width (cm),height (cm),volum (m3),weight (kg),inventory (units)
366,28,19,6,0.003192,0.35,76
367,38,39,6,0.008892,0.01,53
368,6,4,4,0.000096,0.1,7
369,17,12,2,0.000408,0.1,1
370,28,10,5,0.0014,0.2,1
371,30,25,5,0.00375,0.1,1
372,10,2,2,0.00004,0.1,1
373,36,12,3,0.001296,0.1,1
374,10,2,2,0.00004,0.1,1
375,11,9,2,0.000198,0.05,353
376,7,5,1,0.000035,0.001,1
377,65,51,12,0.03978,2.9,8
378,7,5,1,0.000035,0.001,16
379,21,12,4,0.001008,0.005,11
380,13,17,16,0.003536,0.29,1
381,40,32,6,0.00768,3,3
382,40,32,6,0.00768,3,5
383,40,32,6,0.00768,3,0
384,42,36,6,0.009072,3,4
385,68,50,4,0.0136,0.03,10
386,25,20,4,0.002,0.01,0
387,23,20,3,0.00138,0.01,0
388,16,14,5,0.00112,0.015,1
389,10,7,4,0.00028,0.005,34
390,50,20,15,0.015,2,0
391,14,20,20,0.0056,4,2
392,73,9,2,0.001314,0.1,0
393,86,11,2,0.001892,0.4,1
394,69,11,3,0.002277,0.01,2
395,16,11,14,0.002464,1.05,26
396,15,12,12,0.00216,9.5,3
397,13,12,13,0.002028,0.8,6
398,12,12,10,0.00144,0.85,6
399,15,15,10,0.00225,0.8,0
400,14,15,10,0.0021,0.85,0
401,13,13,9,0.001521,0.55,3
402,16,11,14,0.002464,0.95,12
403,55,20,20,0.022,5,0
404,55,20,20,0.022,5,41
405,55,20,20,0.022,4,0
406,55,20,20,0.022,4,13
407,10,10,10,0.001,0.2,0
408,49,15,4,0.00294,0.03,16
409,55,14,6,0.00462,0.35,15
410,21,13,21,0.005733,0.045,10
411,24,14,15,0.00504,1.05,50
412,9,9,2,0.000162,0.02,0
413,50,48,11,0.0264,3.5,2
414,30,30,8,0.0072,4.7,15
415,20,20,10,0.004,0.7,0
416,8,8,1,0.000064,0.001,1
417,8,31,31,0.007688,6,4
418,10,5,5,0.00025,0.1,1
419,50,20,5,0.005,0.2,0
420,45,19,1,0.000855,0.02,29
421,14,8,9,0.001008,0.15,2
422,6,1,7,0.000042,0.001,1
423,11,10,20,0.0022,0.4,0
424,6,5,2,0.00006,0.001,50
425,9,6,6,0.000324,0.03,4
426,61,51,10,0.03111,2.55,1
427,50,64,10,0.032,2.65,1
428,62,53,11,0.036146,3.2,0
429,53,48,10,0.02544,2.75,0
430,11,11,3,0.000363,0.1,7
431,6,6,3,0.000108,0.1,0
432,65,27,19,0.033345,0.4,25
433,27,13,8,0.002808,0.1,16
434,49,12,12,0.007056,0.4,2
435,9,8,7,0.000504,0.1,3
436,50,18,3,0.0027,0.25,9
437,8,3,7,0.000168,0.001,0
438,10,8,8,0.00064,0.1,6
439,63,30,32,0.06048,3.4,10
440,63,30,32,0.06048,3.3,4
441,49,21,6,0.006174,0.25,2
442,54,21,3,0.003402,0.15,30
443,30,23,4,0.00276,0.25,10
444,7,3,7,0.000147,0.005,11
445,50,40,5,0.01,0.45,0
446,46,18,4,0.003312,0.3,2
447,41,26,11,0.011726,0.65,0
448,58,23,4,0.005336,0.45,8
449,66,24,4,0.006336,0.3,26
450,69,27,4,0.007452,0.4,7
451,67,26,20,0.03484,0.35,26
452,65,19,4,0.00494,0.35,32
453,23,24,5,0.00276,0.25,13
454,26,23,4,0.002392,0.02,14
455,10,8,8,0.00064,0.005,24
456,43,17,1,0.000731,0.015,0
457,10,3,11,0.00033,0.005,7
458,22,16,14,0.004928,0.085,0
459,13,18,14,0.003276,0.08,8
460,8,3,10,0.00024,0.005,0
461,20,15,5,0.0015,0.8,0
462,9,14,8,0.001008,0.075,43
463,5,5,5,0.000125,0.1,0
464,8,3,3,0.000072,0.005,1
465,31,13,5,0.002015,0.15,1
466,39,19,7,0.005187,0.3,0
467,10,5,5,0.00025,0.1,0
468,5,5,7,0.000175,0.2,8
469,23,14,25,0.00805,0.3,1
470,37,12,8,0.003552,0.3,23
471,34,13,6,0.002652,0.2,0
472,34,11,6,0.002244,0.25,1
473,35,11,7,0.002695,0.3,0
474,33,17,6,0.003366,0.3,1
475,29,24,5,0.00348,0.15,55
476,21,17,5,0.001785,0.2,1
477,26,17,6,0.002652,0.25,2
478,41,28,8,0.009184,0.4,0
479,26,16,6,0.002496,0.15,19
480,25,20,6,0.003,0.3,21
481,25,20,10,0.005,0.3,0
482,30,11,6,0.00198,0.02,3
483,19,7,8,0.001064,0.35,0
484,40,10,8,0.0032,0.4,0
485,37,7,4,0.001036,0.03,25
486,40,18,1,0.00072,0.005,10
487,10,10,10,0.001,0.5,1
488,19,12,19,0.004332,0.055,3
489,9,5,3,0.000135,0.005,13
490,4,4,6,0.000096,0.005,22
491,13,5,4,0.00026,0.01,1
492,41,28,5,0.00574,0.55,1
493,22,22,18,0.008712,0.385,0
494,12,12,5,0.00072,0.02,1
495,22,17,5,0.00187,0.15,2
496,14,14,8,0.001568,0.1,0
497,13,15,7,0.001365,0.1,0
498,34,16,4,0.002176,0.01,1
499,22,19,19,0.007942,1.75,103
500,17,16,10,0.00272,0.115,0
501,17,3,20,0.00102,0.015,1
502,17,15,2,0.00051,0.15,3
503,18,7,5,0.00063,0.005,1
504,20,17,6,0.00204,0.005,1
505,29,7,19,0.003857,0.015,1
506,5,5,1,0.000025,0.001,1
507,49,16,1,0.000784,0.01,0
508,40,15,1,0.0006,0.015,0
509,15,7,7,0.000735,0.1,261
510,34,15,6,0.00306,0.25,3
511,34,6,14,0.002856,0.1,13
512,35,25,10,0.00875,0.2,3
513,35,25,10,0.00875,1,1
514,35,25,10,0.00875,2,5
515,20,5,5,0.0005,0.2,2
516,20,5,5,0.0005,0.2,2
517,20,10,5,0.001,0.1,5
518,20,10,5,0.001,0.3,10
519,45,49,4,0.00882,0.6,0
520,13,8,8,0.000832,0.01,0
521,10,10,10,0.001,0.2,25
522,12,12,2,0.000288,0.01,79
523,54,22,1,0.001188,0.01,109
524,6,4,4,0.000096,0.005,11
525,40,10,10,0.004,0.6,0
526,14,15,5,0.00105,0.1,37
527,3,20,2,0.00012,0.02,1
528,10,10,5,0.0005,0.85,0
529,15,5,5,0.000375,0.1,0
530,26,13,12,0.004056,0.045,7
531,14,10,7,0.00098,0.055,80
532,9,9,8,0.000648,0.085,1
533,7,21,14,0.002058,0.17,5
534,20,20,5,0.002,0.3,3
535,29,21,4,0.002436,0.03,0
536,23,8,2,0.000368,0.01,0
537,45,45,20,0.0405,1.8,0
538,6,3,3,0.000054,0.005,5
539,9,7,6,0.000378,0.08,0
540,44,19,1,0.000836,0.005,0
541,15,5,5,0.000375,0.1,0
542,15,4,3,0.00018,0.01,204
543,13,12,1,0.000156,0.1,0
544,48,7,1,0.000336,0.1,0
545,16,13,1,0.000208,0.005,19
546,50,36,1,0.0018,0.17,0
547,15,15,5,0.001125,0.8,9
548,18,5,5,0.00045,0.5,59
549,16,3,4,0.000192,0.01,1
550,19,10,10,0.0019,0.015,2
551,71,4,1,0.000284,0.4,0
552,6,8,4,0.000192,0.005,1
553,15,24,15,0.0054,0.215,1
554,33,33,11,0.011979,12,7
555,18,12,12,0.002592,0.03,8
556,12,12,8,0.001152,0.1,0
557,11,10,20,0.0022,0.4,9
558,15,5,5,0.000375,0.5,0
559,17,6,4,0.000408,0.01,116
560,25,23,3,0.001725,0.25,5
561,72,5,2,0.00072,0.05,1
562,35,33,5,0.005775,0.035,11
563,18,11,2,0.000396,0.015,9
564,15,12,20,0.0036,0.03,49
565,64,13,1,0.000832,0.01,3
566,15,15,10,0.00225,0.4,0
567,9,16,16,0.002304,0.05,37
568,40,45,3,0.0054,0.3,1
569,26,8,2,0.000416,0.035,1
570,9,9,3,0.000243,0.005,0
571,5,5,5,0.000125,0.1,0
572,15,10,1,0.00015,0.001,10
573,12,7,4,0.000336,0.01,6
574,12,13,6,0.000936,0.055,1
575,26,10,10,0.0026,0.035,6
576,50,40,1,0.002,0.05,2
577,47,30,1,0.00141,0.04,4
578,50,40,3,0.006,0.05,0
579,47,40,1,0.00188,0.06,21
580,50,40,2,0.004,0.45,1
581,47,40,1,0.00188,0.065,13
582,58,40,1,0.00232,0.05,22
583,56,40,1,0.00224,0.045,33
584,60,50,5,0.015,0.7,16
585,57,40,1,0.00228,0.05,35
586,15,10,10,0.0015,0.3,5
587,18,14,14,0.003528,0.035,3
588,9,5,10,0.00045,0.03,1
589,10,10,1,0.0001,0.001,1
590,8,5,5,0.0002,0.2,0
591,8,7,2,0.000112,0.005,49
592,10,19,1,0.00019,0.001,66
593,21,10,6,0.00126,0.35,7
594,35,20,18,0.0126,2,0
595,30,23,8,0.00552,0.9,2
596,43,23,18,0.017802,1.55,8
597,24,14,3,0.001008,0.25,1
598,18,17,10,0.00306,1.25,1
599,8,10,7,0.00056,0.1,7
600,11,9,7,0.000693,0.15,7
601,4,4,7,0.000112,0.1,14
602,8,6,4,0.000192,0.001,31
603,30,25,5,0.00375,0.2,12
604,30,24,5,0.0036,0.02,243
605,17,16,17,0.004624,1.45,3
606,33,35,4,0.00462,0.685,32
607,16,36,35,0.02016,1.41,0
608,12,12,5,0.00072,0.02,4
609,33,34,15,0.01683,0.022,0
610,15,10,10,0.0015,0.46,0
611,12,10,10,0.0012,0.5,0
612,32,32,4,0.004096,0.84,2
613,12,12,3,0.000432,0.01,2
614,14,14,12,0.002352,0.115,14
615,39,18,9,0.006318,0.95,1
616,30,30,5,0.0045,1.15,4
617,20,15,8,0.0024,2,2
618,15,10,9,0.00135,0.18,17
619,15,10,6,0.0009,0.25,9
620,27,23,7,0.004347,0.45,1
621,14,14,9,0.001764,0.95,7
622,22,10,7,0.00154,1.15,28
623,5,5,3,0.000075,0.001,18
624,6,6,2,0.000072,0.01,435
625,31,21,22,0.014322,0.18,4
626,8,4,39,0.001248,0.002,2
627,20,20,15,0.006,0.3,0
628,14,24,6,0.002016,0.255,0
629,60,20,20,0.024,4.8,0
630,13,78,29,0.029406,2.715,0
631,10,10,10,0.001,0.5,0
632,20,15,15,0.0045,1.7,0
633,20,15,15,0.0045,3,1
634,30,17,17,0.00867,0.245,0
635,28,18,6,0.003024,0.025,117
636,29,19,6,0.003306,0.335,216
637,14,16,14,0.003136,0.4,33
638,14,14,13,0.002548,0.35,96
639,20,11,12,0.00264,0.54,14
640,13,16,14,0.002912,0.5,4
641,26,19,2,0.000988,0.1,7
642,30,22,2,0.00132,0.1,16
643,21,12,5,0.00126,0.1,0
644,10,9,9,0.00081,0.15,4
645,14,9,9,0.001134,0.4,3
646,21,12,10,0.00252,0.5,6
647,10,10,10,0.001,0.15,24
648,25,24,11,0.0066,0.3,4
649,10,10,2,0.0002,0.1,0
650,20,15,5,0.0015,0.2,2
651,9,19,9,0.001539,0.26,58
652,7,17,15,0.001785,0.18,0
653,6,17,13,0.001326,0.16,1
654,6,6,1,0.000036,0.001,7
655,3,3,6,0.000054,0.01,4
656,7,7,6,0.000294,0.15,0
657,18,13,12,0.002808,0.25,6
658,7,7,6,0.000294,0.1,2
659,24,20,10,0.0048,0.15,1
660,7,7,6,0.000294,0.15,6
661,8,5,5,0.0002,0.1,3
662,20,10,5,0.001,0.1,2
663,20,15,15,0.0045,0.3,1
664,9,1,1,0.000009,0.005,2
665,10,8,7,0.00056,0.01,29
666,7,3,9,0.000189,0.005,0
667,30,10,10,0.003,0.5,18
668,80,10,3,0.0024,0.1,1
669,27,28,6,0.004536,3.55,0
670,30,30,7,0.0063,5.45,3
671,18,15,6,0.00162,0.245,10
672,19,10,9,0.00171,0.235,103
673,9,8,4,0.000288,0.005,1
674,3,4,7,0.000084,0.1,0
675,25,15,10,0.00375,0.5,0
676,25,12,7,0.0021,0.5,0
677,20,10,10,0.002,0.2,0
678,13,14,4,0.000728,0.05,4
679,15,13,12,0.00234,0.075,0
680,21,12,11,0.002772,2.45,3
681,7,22,15,0.00231,0.245,18
682,13,10,10,0.0013,0.1,1
683,7,6,6,0.000252,0.15,21
684,5,8,3,0.00012,0.4,0
685,8,8,4,0.000256,0.1,1
686,10,5,16,0.0008,0.005,9
687,8,26,26,0.005408,0.385,4
688,26,28,9,0.006552,4.5,9
689,26,27,8,0.005616,3.7,1
690,30,30,9,0.0081,8.15,2
691,26,25,4,0.0026,0.95,0
692,26,27,60,0.04212,1.5,4
693,13,13,26,0.004394,0.045,2
694,19,14,7,0.001862,0.2,4
695,10,11,1,0.00011,0.01,2
696,31,4,25,0.0031,0.011,2
697,22,20,9,0.00396,0.08,1
698,26,9,2,0.000468,0.1,0
699,9,8,8,0.000576,0.03,47
700,8,8,8,0.000512,0.3,153
701,30,25,10,0.0075,1.8,0
702,6,6,1,0.000036,0.03,0
703,6,1,6,0.000036,0.005,4
704,77,32,2,0.004928,0.15,0
705,28,21,3,0.001764,0.66,1
706,70,44,7,0.02156,0.12,0
707,8,7,7,0.000392,0.01,4
708,30,16,9,0.00432,0.15,2
709,74,13,5,0.00481,0.15,0
710,16,11,5,0.00088,0.005,9
711,10,9,8,0.00072,0.35,74
712,9,8,8,0.000576,0.03,5
713,15,5,5,0.000375,0.1,9
714,5,5,2,0.00005,0.1,107
715,11,6,3,0.000198,0.1,28
716,2,2,2,0.000008,0.1,39
717,38,36,14,0.019152,16,0
718,11,10,2,0.00022,0.1,1
719,12,10,2,0.00024,0.1,1
720,17,9,3,0.000459,0.005,7
721,41,19,4,0.003116,0.25,1
722,16,11,10,0.00176,0.01,0
723,6,8,3,0.000144,0.1,3
724,6,8,3,0.000144,0.1,3
725,6,8,3,0.000144,0.1,4
726,6,6,3,0.000108,0.1,2
727,6,6,3,0.000108,0.1,15
728,5,4,1,0.00002,0.01,3
729,6,6,3,0.000108,0.1,0
730,3,7,5,0.000105,0.005,1
731,32,8,2,0.000512,0.01,2
732,40,36,2,0.00288,0.01,0
733,16,14,13,0.002912,0.035,266
734,16,13,13,0.002704,0.025,37
